"Sampling.Event.ID","Julian","Site","SiteCode","Fescue.Treatment","alsike clover","bergamot","birdsfoot trefoil","black medick","black-eyed susan","blackberry","broadleaf plantain","butterfly milkweed","canada anemone","canada thistle","catnip","chickweed","chicory","common cinquefoil","daisy fleabane","dandelion","deptford pink","field bindweed","field cress","germander","grey-headed coneflower","hairy mountain mint","hoary vervain","horse nettle","ironweed","multiflora rose","oxeye daisy","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","red clover","ribwort plantain","self-heal","slender mountain mint","sulfur cinquefoil","swamp agrimony","swamp vervain","sweet black-eyed susan","white clover","white lobelia","white sweet clover","wild parsnip","wild white indigo","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
1,149,"PYW","PYW-S","Con",3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,136,5,0.924808890907756
2,149,"STE","STE-N","Spr",7,0,0,218,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,33,0,0,0,0,0,0,34,364,6,1.2223448431876
3,149,"RIS","RIS-S","Ref",0,0,0,20,0,337,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,379,6,0.482564009312944
4,149,"GIL","GIL-C","SnS",10,0,0,87,0,0,4,0,0,0,0,6,0,0,1,1,0,0,7,0,0,0,0,0,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,317,0,0,0,0,10,25,0,649,12,1.38255320270239
5,151,"KLN","KLN-E","Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,3,0.721463686692511
6,151,"PYW","PYW-N","SnS",0,0,64,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,70,0,0,0,0,0,0,0,313,12,0,0,0,0,0,0,534,6,1.28994338587697
7,151,"LTR","LTR-C","Spr",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,74,4,1.1362524374259
8,151,"GIL","GIL-S","Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,87,4,0.665152582903635
9,161,"STE","STE-W","Con",0,0,20,66,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,2,0,0,0,0,1,0,4,110,8,1.28391068303192
10,161,"GIL","GIL-N","Spr",268,0,135,5,0,0,0,0,0,0,0,0,0,0,41,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,7,1.43554677230323
11,161,"LTR","LTR-E","SnS",0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,138,4,0.874131520974433
12,161,"PYS","PYS-W","Ref",21,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,591,0,0,0,0,0,0,0,0,13,0,0,0,1,0,1,901,7,0.863819790566333
13,172,"PYN","PYN-N","Ref",0,0,2198,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,2,0,0,0,0,0,0,125,0,27,6,0,0,0,0,2651,8,0.615777186901329
14,172,"STE","STE-S","SnS",62,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,365,4,0.654478818353013
15,172,"LTR","LTR-W","Con",0,0,7,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,78,5,0.856787972697752
16,172,"PYW","PYW-C","Spr",0,0,248,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52,0,0,7,7,0,0,4,56,0,0,0,0,4,0,0,390,9,1.19445458691058
17,173,"RIS","RIS-S","Ref",0,0,824,0,0,3,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,1,0,33,0,0,0,0,2,0,5,976,9,0.643178181848885
18,173,"STE","STE-N","Spr",0,0,2270,5,54,0,135,0,0,0,0,0,0,0,312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,162,47,0,0,0,0,0,8,8,3,0,0,0,0,0,11,3018,13,0.958518060128173
19,173,"PYW","PYW-S","Con",400,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,910,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3971,6,0.849338489369701
20,173,"GIL","GIL-C","SnS",0,0,878,0,0,0,0,0,0,0,0,0,0,0,468,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,180,0,0,0,0,0,0,655,0,0,0,0,10,0,0,2332,7,1.46438369679042
21,185,"KLN","KLN-E","Ref",118,0,39,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,371,7,1.18787194036816
22,185,"LTR","LTR-C","Spr",0,0,0,8,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,44,0,1,0,0,2,0,2,155,9,1.43110058340055
23,185,"GIL","GIL-S","Con",0,0,621,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,342,0,0,7,0,0,0,0,988,7,0.785398276816386
24,185,"GIL","GIL-N","Spr",0,0,1450,0,0,0,0,0,0,0,0,0,2,0,107,0,47,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,168,0,0,0,0,0,0,0,1793,7,0.71656176025882
25,185,"LTR","LTR-E","SnS",0,0,0,246,0,0,0,0,0,0,0,0,0,0,174,0,5,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,48,0,0,0,3,0,0,0,519,8,1.31006691764298
26,185,"STE","STE-W","Con",0,0,4741,55,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36,0,0,110,0,0,0,6,15,0,0,0,0,2,0,1,4984,12,0.270530297245566
27,197,"STE","STE-S","SnS",60,3,520,0,0,0,0,0,1,35,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,13,16,1,0,0,0,0,0,0,61,0,0,37,0,0,0,0,766,13,1.25211279497718
28,197,"LTR","LTR-W","Con",1,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,3,0,5,0,0,0,0,19,0,0,0,0,0,0,0,66,10,1.67996951674305
29,197,"PYN","PYN-N","Ref",4,8,3024,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,10,30,0,0,0,0,0,0,3,22,267,0,0,0,0,0,0,0,140,0,1545,0,0,0,0,0,5089,12,1.04794484284717
30,204,"RIS","RIS-S","Ref",0,144,409,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,55,3,7,0,0,0,0,0,0,0,52,58,0,2,80,0,0,0,0,16,0,25,0,0,0,0,4,862,14,1.71675992309064
31,204,"GIL","GIL-C","SnS",0,45,485,0,5,0,0,0,0,0,30,0,145,0,255,0,23,0,0,12,0,0,8,0,2,0,0,0,0,3,0,53,9,20,33,24,0,0,0,0,124,0,0,0,0,0,0,0,1276,17,1.96489868034338
32,204,"STE","STE-N","Spr",0,0,1178,0,10,0,0,0,0,0,0,0,4,0,155,0,1,0,0,0,36,0,3,0,0,0,0,0,0,6,0,181,184,0,6,0,0,0,0,0,5,0,0,0,0,0,0,2,1771,13,1.15274480841993
33,207,"KLN","KLN-E","Ref",0,0,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,186,261,0,2,0,0,0,0,0,43,0,0,0,0,0,0,0,543,9,1.25817805604333
34,207,"GIL","GIL-S","Con",0,0,295,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1387,7,0.908764756756063
35,207,"LTR","LTR-C","Spr",0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,13,0,10,0,0,4,0,1,0,113,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,9,1.42296438583338
36,209,"LTR","LTR-E","SnS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,3,0,22,0,39,0,0,15,0,33,0,222,130,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,540,10,1.66364486951676
37,209,"GIL","GIL-N","Spr",0,0,1203,0,0,0,0,0,0,0,0,0,103,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,302,29,0,28,0,0,0,0,0,64,0,0,0,0,0,0,0,1756,9,1.06018266560126
38,209,"STE","STE-W","Con",0,0,844,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,459,40,6,14,143,0,6,0,0,1,0,0,0,0,0,0,0,1539,11,1.1822590625027
39,209,"STE","STE-S","SnS",0,7,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0,159,24,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,474,8,1.2534521721658
40,209,"LTR","LTR-W","Con",0,7,20,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,15,0,0,7,0,16,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,152,8,1.86760317404569
41,209,"PYN","PYN-N","Ref",0,0,515,0,0,0,0,0,0,0,0,0,15,0,5,0,3,0,0,0,10,0,2,1,40,0,0,0,0,21,0,107,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,11,1.3154350825026
