"Year","Date","Site","Patch","Adaptive.Mgmt","YSB","american lady","black swallowtail","bronze copper","cabbage white","clouded sulphur","common buckeye","common sootywing","common wood nymph","coral hairstreak","dainty sulphur","delaware skipper","dun skipper","eastern comma","eastern tailed blue","eastern tiger swallowtail","edward's hairstreak","european skipper","fiery skipper","giant swallowtail","gorgone checkerspot","gray copper","great spangled fritillary","hackberry emperor","indigo duskywing","least skipper","little wood satyr","little yellow","meadow fritillary","melissa blue","monarch","mourning cloak","orange sulphur","painted lady","pearl crescent","peck's skipper","question mark","red admiral","red-spotted purple","regal fritillary","silver-spotted skipper","silvery checkerspot","southern cloudywing","spring azure","summer azure","tawny-edged skipper","two-spotted skipper","variegated fritillary","viceroy","Abundance","Species.Density","Diversity"
"18",147,"PYN","PYN-N","PBG","2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1.46147212930402
"18",147,"PYN","PYN-S","PBG","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.03972077083992
"18",147,"PYN","PYN-W","PBG","1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.5977295736436
"18",160,"KLN","KLN-C","PBG","1",0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,1.79435672337844
"18",160,"KLN","KLN-E","PBG","2",0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1.72471843887206
"18",160,"KLN","KLN-W","PBG","0",1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1.67667942276262
"18",160,"RIS","RIS-C","PBG","0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1.42412991734677
"18",160,"RIS","RIS-N","PBG","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1.55756046165687
"18",160,"RIS","RIS-S","PBG","2",1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,1.897694259979
"18",169,"PYN","PYN-N","PBG","2",0,1,0,1,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,1.82721989834184
"18",169,"PYN","PYN-S","PBG","0",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.47080847632211
"18",169,"PYN","PYN-W","PBG","1",0,4,0,3,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,27,11,1.86594258562405
"18",176,"KLN","KLN-C","PBG","1",0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,1.78067262996314
"18",176,"KLN","KLN-E","PBG","2",0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,1.62222498757342
"18",176,"KLN","KLN-W","PBG","0",1,0,0,0,1,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,1.56615146682543
"18",176,"RIS","RIS-C","PBG","0",0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,1.89533697415838
"18",176,"RIS","RIS-N","PBG","1",0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,1.79487942873357
"18",176,"RIS","RIS-S","PBG","2",0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,7,1.72343807638115
"18",188,"PYN","PYN-N","PBG","2",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.54267196873815
"18",188,"PYN","PYN-S","PBG","0",0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1.58018208134946
"18",188,"PYN","PYN-W","PBG","1",0,2,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,1.8337523522597
"18",194,"RIS","RIS-C","PBG","0",0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,1.60054836118296
"18",194,"RIS","RIS-N","PBG","1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1.36227492289265
"18",194,"RIS","RIS-S","PBG","2",0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,1.80148189961062
"18",205,"KLN","KLN-C","PBG","1",0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1.49626034290877
"18",205,"KLN","KLN-E","PBG","2",0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1.79418073919701
"18",205,"KLN","KLN-W","PBG","0",0,1,0,0,3,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,32,11,1.77214081619298
"18",206,"RIS","RIS-C","PBG","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1.41848366194566
"18",206,"RIS","RIS-N","PBG","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.03972077083992
"18",206,"RIS","RIS-S","PBG","2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.41848366194566
