"Round","Site","Patch","Post.ID","Adaptive.Mgmt","YSB","Flower.Common.Name","Flower.Number"
"R2","KLN","KLN-E","KLN-E-P2","PBG",2,"alsike clover",4
"R2","KLN","KLN-E","KLN-E-P3","PBG",2,"alsike clover",7
"R3","KLN","KLN-E","KLN-E-P3","PBG",2,"bergamot",6
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"bergamot",8
"R3","RIS","RIS-C","RIS-C-P5","PBG",0,"bergamot",1
"R2","KLN","KLN-E","KLN-E-P1","PBG",2,"birdsfoot trefoil",4
"R1","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",7
"R2","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",34
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",6
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",4
"R2","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",26
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",2
"R1","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",5
"R2","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",38
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",7
"R1","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",2
"R2","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",32
"R3","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",5
"R1","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",13
"R2","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",22
"R3","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",2
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",13
"R2","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",30
"R3","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",6
"R1","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",9
"R2","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",28
"R3","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",25
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",1
"R2","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",36
"R3","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",26
"R1","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",1
"R2","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",32
"R3","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",37
"R1","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",5
"R2","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",24
"R3","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",43
"R1","KLN","KLN-W","KLN-W-P3","PBG",0,"birdsfoot trefoil",8
"R1","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",11
"R2","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",26
"R3","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",12
"R1","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",21
"R2","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",18
"R3","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",7
"R1","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",13
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",10
"R3","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",28
"R1","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",22
"R2","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",28
"R3","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",11
"R1","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",9
"R2","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",6
"R3","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",28
"R1","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",20
"R2","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",20
"R3","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",19
"R1","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",22
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",3
"R3","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",14
"R1","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",3
"R2","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",12
"R3","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",3
"R1","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",28
"R2","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",25
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",10
"R1","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",23
"R2","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",30
"R3","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",20
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"birdsfoot trefoil",24
"R2","RIS","RIS-C","RIS-C-P6","PBG",0,"birdsfoot trefoil",10
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"birdsfoot trefoil",10
"R1","KLN","KLN-C","KLN-C-P4","PBG",1,"birdsfoot trefoil",3
"R2","KLN","KLN-C","KLN-C-P4","PBG",1,"birdsfoot trefoil",8
"R2","KLN","KLN-C","KLN-C-P6","PBG",1,"birdsfoot trefoil",15
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"birdsfoot trefoil",8
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"birdsfoot trefoil",2
"R1","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",36
"R2","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",52
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",20
"R1","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",31
"R2","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",34
"R3","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",12
"R1","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",3
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",18
"R3","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",5
"R1","PYN","PYN-W","PYN-W-P5","PBG",1,"birdsfoot trefoil",1
"R2","PYN","PYN-W","PYN-W-P5","PBG",1,"birdsfoot trefoil",5
"R2","PYN","PYN-W","PYN-W-P6","PBG",1,"birdsfoot trefoil",12
"R1","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",2
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",45
"R3","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",3
"R1","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",22
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",52
"R3","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",18
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",7
"R2","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",40
"R3","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",21
"R1","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",3
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",25
"R3","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",25
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",9
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",30
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",22
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",14
"R2","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",25
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",16
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"black medick",43
"R1","PYN","PYN-N","PYN-N-P4","PBG",2,"black medick",4
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"black medick",4
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"black medick",2
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"black medick",43
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"black medick",15
"R1","PYN","PYN-W","PYN-W-P3","PBG",1,"black medick",4
"R1","PYN","PYN-W","PYN-W-P4","PBG",1,"black medick",17
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"black medick",3
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"black medick",2
"R1","RIS","RIS-N","RIS-N-P4","PBG",1,"black medick",15
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"black medick",33
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"black medick",30
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"black-eyed susan",2
"R3","KLN","KLN-C","KLN-C-P1","PBG",1,"black-eyed susan",5
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"chicory",6
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"common cinquefoil",1
"R1","KLN","KLN-E","KLN-E-P5","PBG",2,"daisy fleabane",3
"R2","KLN","KLN-E","KLN-E-P5","PBG",2,"daisy fleabane",10
"R2","PYN","PYN-N","PYN-N-P2","PBG",2,"daisy fleabane",16
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"daisy fleabane",46
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"daisy fleabane",5
"R2","RIS","RIS-S","RIS-S-P1","PBG",2,"daisy fleabane",18
"R3","RIS","RIS-S","RIS-S-P1","PBG",2,"daisy fleabane",2
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"daisy fleabane",5
"R1","RIS","RIS-N","RIS-N-P2","PBG",1,"daisy fleabane",1
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"daisy fleabane",7
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"dandelion",2
"R2","KLN","KLN-E","KLN-E-P5","PBG",2,"deptford pink",3
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"deptford pink",1
"R2","RIS","RIS-S","RIS-S-P1","PBG",2,"deptford pink",5
"R2","RIS","RIS-S","RIS-S-P6","PBG",2,"deptford pink",2
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"deptford pink",3
"R2","KLN","KLN-C","KLN-C-P2","PBG",1,"deptford pink",14
"R2","KLN","KLN-C","KLN-C-P3","PBG",1,"deptford pink",8
"R2","KLN","KLN-C","KLN-C-P4","PBG",1,"deptford pink",5
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"deptford pink",10
"R1","RIS","RIS-N","RIS-N-P2","PBG",1,"deptford pink",1
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"deptford pink",10
"R2","RIS","RIS-N","RIS-N-P3","PBG",1,"deptford pink",11
"R3","RIS","RIS-N","RIS-N-P3","PBG",1,"deptford pink",5
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"germander",4
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"gray dogwood",4
"R3","KLN","KLN-E","KLN-E-P2","PBG",2,"grey-headed coneflower",1
"R3","KLN","KLN-E","KLN-E-P3","PBG",2,"grey-headed coneflower",8
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"grey-headed coneflower",4
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"grey-headed coneflower",5
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"grey-headed coneflower",4
"R3","PYN","PYN-N","PYN-N-P6","PBG",2,"grey-headed coneflower",3
"R3","KLN","KLN-W","KLN-W-P3","PBG",0,"grey-headed coneflower",3
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"grey-headed coneflower",3
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"grey-headed coneflower",4
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"grey-headed coneflower",6
"R3","PYN","PYN-W","PYN-W-P5","PBG",1,"grey-headed coneflower",5
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"grey-headed coneflower",5
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"grey-headed coneflower",1
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"hoary vervain",3
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"horse nettle",2
"R2","RIS","RIS-C","RIS-C-P4","PBG",0,"horse nettle",5
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"horse nettle",4
"R3","RIS","RIS-C","RIS-C-P3","PBG",0,"ironweed",1
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"ironweed",1
"R3","RIS","RIS-S","RIS-S-P4","PBG",2,"morning glory",1
"R1","KLN","KLN-E","KLN-E-P3","PBG",2,"multiflora rose",1
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"multiflora rose",2
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"oxeye daisy",1
"R2","KLN","KLN-C","KLN-C-P4","PBG",1,"oxeye daisy",2
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"oxeye daisy",1
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"oxeye daisy",3
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"oxeye daisy",1
"R3","KLN","KLN-W","KLN-W-P6","PBG",0,"partridge pea",6
"R3","PYN","PYN-W","PYN-W-P6","PBG",1,"partridge pea",1
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"prairie petunia",3
"R3","PYN","PYN-S","PYN-S-P6","PBG",0,"prairie petunia",5
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"prairie petunia",2
"R3","RIS","RIS-N","RIS-N-P2","PBG",1,"prairie petunia",3
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"prairie petunia",1
"R3","KLN","KLN-E","KLN-E-P2","PBG",2,"queen anne's lace",1
"R3","KLN","KLN-E","KLN-E-P4","PBG",2,"queen anne's lace",1
"R3","KLN","KLN-E","KLN-E-P5","PBG",2,"queen anne's lace",11
"R3","KLN","KLN-E","KLN-E-P6","PBG",2,"queen anne's lace",8
"R3","KLN","KLN-W","KLN-W-P2","PBG",0,"queen anne's lace",2
"R3","PYN","PYN-S","PYN-S-P1","PBG",0,"queen anne's lace",26
"R3","PYN","PYN-S","PYN-S-P3","PBG",0,"queen anne's lace",2
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"queen anne's lace",5
"R3","PYN","PYN-W","PYN-W-P4","PBG",1,"queen anne's lace",3
"R3","PYN","PYN-W","PYN-W-P6","PBG",1,"queen anne's lace",12
"R3","RIS","RIS-N","RIS-N-P2","PBG",1,"queen anne's lace",7
"R3","RIS","RIS-N","RIS-N-P3","PBG",1,"queen anne's lace",7
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"queen anne's lace",14
"R1","KLN","KLN-E","KLN-E-P4","PBG",2,"red clover",1
"R2","KLN","KLN-E","KLN-E-P4","PBG",2,"red clover",1
"R3","KLN","KLN-E","KLN-E-P4","PBG",2,"red clover",3
"R2","KLN","KLN-E","KLN-E-P5","PBG",2,"red clover",3
"R3","KLN","KLN-E","KLN-E-P5","PBG",2,"red clover",3
"R1","KLN","KLN-E","KLN-E-P6","PBG",2,"red clover",2
"R2","KLN","KLN-E","KLN-E-P6","PBG",2,"red clover",1
"R2","PYN","PYN-N","PYN-N-P3","PBG",2,"red clover",3
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"red clover",1
"R2","PYN","PYN-N","PYN-N-P4","PBG",2,"red clover",1
"R1","PYN","PYN-N","PYN-N-P5","PBG",2,"red clover",7
"R2","PYN","PYN-N","PYN-N-P5","PBG",2,"red clover",4
"R3","KLN","KLN-W","KLN-W-P6","PBG",0,"red clover",1
"R3","PYN","PYN-S","PYN-S-P1","PBG",0,"red clover",13
"R2","PYN","PYN-S","PYN-S-P2","PBG",0,"red clover",3
"R3","PYN","PYN-S","PYN-S-P2","PBG",0,"red clover",17
"R1","PYN","PYN-S","PYN-S-P3","PBG",0,"red clover",1
"R3","PYN","PYN-S","PYN-S-P3","PBG",0,"red clover",21
"R1","PYN","PYN-S","PYN-S-P4","PBG",0,"red clover",3
"R2","PYN","PYN-S","PYN-S-P4","PBG",0,"red clover",4
"R1","PYN","PYN-S","PYN-S-P5","PBG",0,"red clover",2
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"red clover",4
"R3","PYN","PYN-S","PYN-S-P5","PBG",0,"red clover",6
"R2","PYN","PYN-S","PYN-S-P6","PBG",0,"red clover",1
"R3","PYN","PYN-S","PYN-S-P6","PBG",0,"red clover",1
"R2","KLN","KLN-C","KLN-C-P6","PBG",1,"red clover",1
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"red clover",1
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"red clover",5
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"red clover",6
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"red clover",3
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"red clover",2
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"red clover",4
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"red clover",2
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"red clover",3
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"ribwort plantain",5
"R1","RIS","RIS-S","RIS-S-P2","PBG",2,"ribwort plantain",3
"R3","KLN","KLN-W","KLN-W-P1","PBG",0,"sawtooth sunflower",2
"R3","KLN","KLN-E","KLN-E-P5","PBG",2,"slender mountain mint",2
"R1","PYN","PYN-W","PYN-W-P2","PBG",1,"strawberry",2
"R1","RIS","RIS-C","RIS-C-P4","PBG",0,"sulfur cinquefoil",1
"R3","RIS","RIS-N","RIS-N-P3","PBG",1,"thimbleweed",1
"R1","KLN","KLN-E","KLN-E-P1","PBG",2,"white clover",1
"R1","KLN","KLN-E","KLN-E-P4","PBG",2,"white clover",3
"R2","KLN","KLN-E","KLN-E-P4","PBG",2,"white clover",13
"R2","KLN","KLN-E","KLN-E-P5","PBG",2,"white clover",2
"R2","KLN","KLN-E","KLN-E-P6","PBG",2,"white clover",15
"R2","PYN","PYN-N","PYN-N-P2","PBG",2,"white clover",1
"R2","PYN","PYN-N","PYN-N-P3","PBG",2,"white clover",1
"R3","RIS","RIS-S","RIS-S-P6","PBG",2,"white clover",4
"R1","PYN","PYN-S","PYN-S-P1","PBG",0,"white clover",1
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"white clover",1
"R3","PYN","PYN-S","PYN-S-P2","PBG",0,"white clover",3
"R1","PYN","PYN-S","PYN-S-P4","PBG",0,"white clover",1
"R2","PYN","PYN-S","PYN-S-P4","PBG",0,"white clover",8
"R1","PYN","PYN-S","PYN-S-P5","PBG",0,"white clover",2
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"white clover",13
"R1","PYN","PYN-S","PYN-S-P6","PBG",0,"white clover",3
"R2","PYN","PYN-S","PYN-S-P6","PBG",0,"white clover",2
"R2","RIS","RIS-C","RIS-C-P2","PBG",0,"white clover",2
"R1","RIS","RIS-C","RIS-C-P5","PBG",0,"white clover",3
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"white clover",2
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"white clover",6
"R2","KLN","KLN-C","KLN-C-P2","PBG",1,"white clover",4
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"white clover",6
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"white clover",7
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"white clover",1
"R2","PYN","PYN-W","PYN-W-P6","PBG",1,"white clover",3
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"white clover",4
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"white lobelia",7
"R1","KLN","KLN-C","KLN-C-P3","PBG",1,"white lobelia",2
"R3","KLN","KLN-E","KLN-E-P3","PBG",2,"white sweet clover",3
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"white sweet clover",2
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"white sweet clover",1
"R3","KLN","KLN-C","KLN-C-P2","PBG",1,"white sweet clover",1
"R3","KLN","KLN-C","KLN-C-P3","PBG",1,"white sweet clover",2
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"white sweet clover",20
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"white sweet clover",10
"R2","PYN","PYN-W","PYN-W-P2","PBG",1,"white sweet clover",20
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"white sweet clover",11
"R2","PYN","PYN-W","PYN-W-P3","PBG",1,"white sweet clover",10
"R3","PYN","PYN-W","PYN-W-P3","PBG",1,"white sweet clover",24
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"white sweet clover",12
"R3","PYN","PYN-W","PYN-W-P4","PBG",1,"white sweet clover",4
"R2","PYN","PYN-W","PYN-W-P5","PBG",1,"white sweet clover",3
"R3","PYN","PYN-W","PYN-W-P5","PBG",1,"white sweet clover",12
"R3","PYN","PYN-W","PYN-W-P6","PBG",1,"white sweet clover",16
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"white sweet clover",18
"R3","RIS","RIS-N","RIS-N-P4","PBG",1,"white sweet clover",68
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"white sweet clover",2
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"white sweet clover",24
"R2","RIS","RIS-N","RIS-N-P6","PBG",1,"white sweet clover",7
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"white sweet clover",28
"R3","RIS","RIS-S","RIS-S-P1","PBG",2,"whorled milkweed",4
"R3","RIS","RIS-N","RIS-N-P1","PBG",1,"whorled milkweed",4
"R3","KLN","KLN-E","KLN-E-P1","PBG",2,"wild parsnip",1
"R2","PYN","PYN-N","PYN-N-P1","PBG",2,"wild parsnip",5
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"wild parsnip",10
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"yarrow",2
"R2","RIS","RIS-C","RIS-C-P5","PBG",0,"yarrow",7
"R3","RIS","RIS-C","RIS-C-P5","PBG",0,"yarrow",1
"R1","KLN","KLN-C","KLN-C-P5","PBG",1,"yellow oxalis",1
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"yellow sweet clover",9
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"yellow sweet clover",2
"R2","PYN","PYN-W","PYN-W-P5","PBG",1,"yellow sweet clover",2
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"yellow sweet clover",3
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"yellow sweet clover",42
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"yellow sweet clover",6
"R2","RIS","RIS-N","RIS-N-P6","PBG",1,"yellow sweet clover",8
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"yellow sweet clover",1
