"Sampling_Event_ID","Capture_Year","Capture_Date","Round","Site","Patch","Height","Bowls_Recovered","Bee_Species","Number"
2,2017,5.29,"R1","STE","STE-N","High",6,"Halictus.ligatus",1
3,2017,5.29,"R1","GIL","GIL-C","High",6,"Ceratina.dupla",1
3,2017,5.29,"R1","GIL","GIL-C","High",6,"Halictus.ligatus",1
3,2017,5.29,"R1","GIL","GIL-C","High",6,"Lasioglossum.Dialictus",3
3,2017,5.29,"R1","RIS","RIS-S","Low",6,"Augochlorella.aurata",2
3,2017,5.29,"R1","RIS","RIS-S","Low",6,"Ceratina.dupla",1
4,2017,5.29,"R1","GIL","GIL-C","Low",6,"Augochlorella.aurata",2
4,2017,5.29,"R1","GIL","GIL-C","Low",6,"Lasioglossum.Dialictus",1
4,2017,5.29,"R1","RIS","RIS-S","High",6,"Augochlorella.aurata",1
4,2017,5.29,"R1","RIS","RIS-S","High",6,"Ceratina.dupla",1
4,2017,5.29,"R1","RIS","RIS-S","High",6,"Halictus.ligatus",2
4,2017,5.29,"R1","RIS","RIS-S","High",6,"Lasioglossum.Dialictus",1
5,2017,5.31,"R1","KLN","KLN-E","Low",6,"Augochlorella.aurata",1
7,2017,5.31,"R1","LTR","LTR-C","High",6,"Augochlorella.aurata",2
7,2017,5.31,"R1","LTR","LTR-C","High",6,"Ceratina.dupla",1
7,2017,5.31,"R1","LTR","LTR-C","High",6,"Halictus.ligatus",1
7,2017,5.31,"R1","LTR","LTR-C","High",6,"Lasioglossum.Dialictus",3
7,2017,5.31,"R1","LTR","LTR-C","Low",6,"Augochlorella.aurata",3
8,2017,5.31,"R1","GIL","GIL-S","High",6,"Halictus.ligatus",1
8,2017,5.31,"R1","GIL","GIL-S","High",6,"Lasioglossum.Dialictus",1
9,2017,6.08,"R1","STE","STE-W","High",6,"Agapostemon.virescens",1
9,2017,6.08,"R1","STE","STE-W","High",6,"Eucera.hamata",1
9,2017,6.08,"R1","STE","STE-W","High",6,"Lasioglossum.Dialictus",1
9,2017,6.08,"R1","STE","STE-W","Low",6,"Eucera.hamata",1
10,2017,6.08,"R1","GIL","GIL-N","High",6,"Agapostemon.virescens",1
10,2017,6.08,"R1","GIL","GIL-N","High",6,"Ceratina.dupla",2
11,2017,6.08,"R1","LTR","LTR-E","High",6,"Agapostemon.texanus",1
11,2017,6.08,"R1","LTR","LTR-E","High",6,"Agapostemon.virescens",2
11,2017,6.08,"R1","LTR","LTR-E","Low",6,"Augochlorella.aurata",3
11,2017,6.08,"R1","LTR","LTR-E","Low",6,"Lasioglossum.Dialictus",2
11,2017,6.08,"R1","LTR","LTR-E","Low",6,"Lasioglossum.Hemihalictus",2
13,2017,6.19,"R1","PYN","PYN-N","High",6,"Augochlorella.aurata",2
13,2017,6.19,"R1","PYN","PYN-N","High",6,"Lasioglossum.Dialictus",5
14,2017,6.19,"R1","STE","STE-S","High",6,"Augochlorella.aurata",2
14,2017,6.19,"R1","STE","STE-S","High",6,"Ceratina.dupla",1
14,2017,6.19,"R1","STE","STE-S","High",6,"Lasioglossum.Dialictus",6
15,2017,6.19,"R1","LTR","LTR-W","High",6,"Augochlorella.aurata",1
15,2017,6.19,"R1","LTR","LTR-W","High",6,"Halictus.ligatus",1
15,2017,6.19,"R1","LTR","LTR-W","High",6,"Lasioglossum.Dialictus",2
15,2017,6.19,"R1","LTR","LTR-W","Low",5,"Eucera.hamata",1
17,2017,6.2,"R2","RIS","RIS-S","High",6,"Augochlorella.aurata",2
17,2017,6.2,"R2","RIS","RIS-S","High",6,"Halictus.ligatus",1
17,2017,6.2,"R2","RIS","RIS-S","High",6,"Lasioglossum.Dialictus",1
17,2017,6.2,"R2","RIS","RIS-S","Low",6,"Osmia.pumila",1
18,2017,6.2,"R2","STE","STE-N","High",6,"Eucera.hamata",1
18,2017,6.2,"R2","STE","STE-N","High",6,"Halictus.ligatus",1
19,2017,6.2,"R2","PYW","PYW-S","High",6,"Lasioglossum.Dialictus",2
20,2017,6.2,"R2","GIL","GIL-C","High",5,"Ceratina.dupla",1
21,2017,7.02,"R2","KLN","KLN-E","High",6,"Agapostemon.texanus",6
21,2017,7.02,"R2","KLN","KLN-E","High",6,"Agapostemon.virescens",6
21,2017,7.02,"R2","KLN","KLN-E","High",6,"Halictus.ligatus",1
21,2017,7.02,"R2","KLN","KLN-E","Low",6,"Lasioglossum.Dialictus",1
22,2017,7.02,"R2","LTR","LTR-C","High",6,"Augochlorella.aurata",2
22,2017,7.02,"R2","LTR","LTR-C","High",6,"Halictus.ligatus",1
22,2017,7.02,"R2","LTR","LTR-C","Low",6,"Augochlorella.aurata",3
23,2017,7.02,"R2","GIL","GIL-S","High",3,"Agapostemon.virescens",1
23,2017,7.02,"R2","GIL","GIL-S","High",3,"Augochlorella.aurata",2
23,2017,7.02,"R2","GIL","GIL-S","High",3,"Halictus.ligatus",1
23,2017,7.02,"R2","GIL","GIL-S","High",3,"Lasioglossum.Dialictus",3
23,2017,7.02,"R2","GIL","GIL-S","Low",2,"Augochlorella.aurata",1
23,2017,7.02,"R2","GIL","GIL-S","Low",2,"Lasioglossum.Dialictus",1
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Agapostemon.texanus",1
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Agapostemon.virescens",2
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Augochlorella.aurata",4
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Halictus.ligatus",7
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Lasioglossum.Dialictus",3
24,2017,7.02,"R2","GIL","GIL-N","High",6,"Melissodes.boltoniae",1
24,2017,7.02,"R2","GIL","GIL-N","Low",6,"Agapostemon.virescens",1
24,2017,7.02,"R2","GIL","GIL-N","Low",6,"Augochlorella.aurata",1
24,2017,7.02,"R2","GIL","GIL-N","Low",6,"Halictus.ligatus",3
24,2017,7.02,"R2","GIL","GIL-N","Low",6,"Lasioglossum.Dialictus",1
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Agapostemon.texanus",1
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Agapostemon.virescens",1
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Augochlorella.aurata",4
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Ceratina.dupla",1
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Halictus.ligatus",11
25,2017,7.02,"R2","LTR","LTR-E","High",6,"Lasioglossum.Dialictus",3
25,2017,7.02,"R2","LTR","LTR-E","Low",6,"Augochlorella.aurata",17
25,2017,7.02,"R2","LTR","LTR-E","Low",6,"Calliopsis.nebraskensis",1
25,2017,7.02,"R2","LTR","LTR-E","Low",6,"Halictus.ligatus",1
25,2017,7.02,"R2","LTR","LTR-E","Low",6,"Lasioglossum.Dialictus",4
25,2017,7.02,"R2","LTR","LTR-E","Low",6,"Osmia.lignaria",1
26,2017,7.02,"R2","STE","STE-W","High",6,"Augochlorella.aurata",3
26,2017,7.02,"R2","STE","STE-W","High",6,"Halictus.ligatus",2
26,2017,7.02,"R2","STE","STE-W","High",6,"Lasioglossum.Dialictus",6
27,2017,7.14,"R2","STE","STE-S","High",6,"Augochlorella.aurata",2
27,2017,7.14,"R2","STE","STE-S","High",6,"Calliopsis.nebraskensis",1
27,2017,7.14,"R2","STE","STE-S","High",6,"Lasioglossum.Dialictus",12
27,2017,7.14,"R2","STE","STE-S","High",6,"Melissodes.bimaculata",10
27,2017,7.14,"R2","STE","STE-S","Low",6,"Augochlorella.aurata",1
27,2017,7.14,"R2","STE","STE-S","Low",6,"Lasioglossum.Dialictus",2
28,2017,7.14,"R2","LTR","LTR-W","High",6,"Agapostemon.texanus",1
28,2017,7.14,"R2","LTR","LTR-W","High",6,"Augochlorella.aurata",1
28,2017,7.14,"R2","LTR","LTR-W","High",6,"Lasioglossum.Dialictus",1
28,2017,7.14,"R2","LTR","LTR-W","High",6,"Melissodes.communis",1
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Augochlorella.aurata",6
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Lasioglossum.Dialictus",1
28,2017,7.14,"R2","LTR","LTR-W","Low",5,"Lasioglossum.Evylaeus",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Agapostemon.virescens",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Augochlorella.aurata",7
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Halictus.ligatus",1
29,2017,7.14,"R2","PYN","PYN-N","High",6,"Lasioglossum.Dialictus",6
29,2017,7.14,"R2","PYN","PYN-N","Low",6,"Augochlorella.aurata",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Agapostemon.texanus",2
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Agapostemon.virescens",3
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Augochlorella.aurata",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Ceratina.dupla",1
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Lasioglossum.Dialictus",2
30,2017,7.21,"R3","RIS","RIS-S","High",5,"Lasioglossum.Evylaeus",1
31,2017,7.21,"R3","GIL","GIL-C","High",6,"Lasioglossum.Dialictus",1
31,2017,7.21,"R3","GIL","GIL-C","High",6,"Melissodes.boltoniae",1
31,2017,7.21,"R3","GIL","GIL-C","Low",6,"Lasioglossum.Dialictus",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Agapostemon.texanus",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Agapostemon.virescens",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Apis.mellifera",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Ceratina.dupla",1
32,2017,7.21,"R3","STE","STE-N","High",6,"Halictus.ligatus",2
32,2017,7.21,"R3","STE","STE-N","High",6,"Lasioglossum.Dialictus",1
32,2017,7.21,"R3","STE","STE-N","Low",6,"Lasioglossum.Dialictus",1
33,2017,7.24,"R3","KLN","KLN-E","High",6,"Agapostemon.texanus",1
33,2017,7.24,"R3","KLN","KLN-E","High",6,"Halictus.ligatus",1
34,2017,7.24,"R3","GIL","GIL-S","High ",6,"Lasioglossum.Dialictus",1
35,2017,7.24,"R3","LTR","LTR-C","High",6,"Agapostemon.virescens",1
35,2017,7.24,"R3","LTR","LTR-C","High",6,"Lasioglossum.Dialictus",1
35,2017,7.24,"R3","LTR","LTR-C","Low",6,"Augochlorella.aurata",1
36,2017,7.26,"R3","LTR","LTR-E","High",6,"Melissodes.trinodis",1
36,2017,7.26,"R3","LTR","LTR-E","Low",6,"Augochlorella.aurata",1
37,2017,7.26,"R3","GIL","GIL-N","High",6,"Ceratina.dupla",2
38,2017,7.26,"R3","STE","STE-W","High",6,"Lasioglossum.Dialictus",1
38,2017,7.26,"R3","STE","STE-W","High",6,"Melissodes.bimaculata",1
39,2017,7.26,"R3","STE","STE-S","High",6,"Augochlorella.aurata",1
40,2017,7.26,"R3","LTR","LTR-W","High",6,"Melissodes.trinodis",1
40,2017,7.26,"R3","LTR","LTR-W","Low",5,"Augochlorella.aurata",1
